time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8,0,0,0.078,0,0,0,0,0,0,0,0.078,0,0,0,0.078,0
9,0,0,0.0676,0,0,0,0,0,0,0,0.0676,0,0,0,0.0676,0
10,0,0,0.052,0,0,0,0,0,0,0,0.052,0,0,0,0.052,0
11,0,0,0.104,0,0,0,0,0,0,0,0.104,0,0,0,0.104,0
12,0,0,0.104,0,0,0,0,0,0,0,0.104,0,0,0,0.104,0
13,0,0,0.156,0,0,0,0,0,0,0,0.156,0,0,0,0.156,0
14,0,0,0.182,0,0,0,0,0,0,0,0.182,0,0,0,0.182,0
15,0,0,0.208,0,0,0,0,0,0,0,0.208,0,0,0,0.208,0
16,0,0,0.208,0,0,0,0,0,0,0,0.208,0,0,0,0.208,0
17,0,0,0.208,0,0,0,0,0,0,0,0.208,0,0,0,0.208,0
18,0,0,0.208,0,0,0,0,0,0,0,0.208,0,0,0,0.208,0
19,0,0,0.208,0,0,0,0,0,0,0,0.208,0,0,0,0.208,0
20,0,0,0.208,0,0,0,0,0,0,0,0.208,0,0,0,0.208,0
21,0,0,0.208,0,0,0,0,0,0,0,0.208,0,0,0,0.208,0
22,0,0,0.208,0,0,0,0,0,0,0,0.208,0,0,0,0.208,0
23,0,0,0.156,0,0,0,0,0,0,0,0.156,0,0,0,0.156,0
24,0,0,0.104,0,0,0,0,0,0,0,0.104,0,0,0,0.104,0
1,0,0,0.104,0,0,0,0,0,0,0,0.104,0,0,0,0.104,0
2,0,0,0.052,0,0,0,0,0,0,0,0.052,0,0,0,0.052,0
3,0,0,0.052,0,0,0,0,0,0,0,0.052,0,0,0,0.052,0
4,0,0,0.052,0,0,0,0,0,0,0,0.052,0,0,0,0.052,0
5,0,0,0.052,0,0,0,0,0,0,0,0.052,0,0,0,0.052,0
6,0,0,0.078,0,0,0,0,0,0,0,0.078,0,0,0,0.078,0
7,0,0,0.078,0,0,0,0,0,0,0,0.078,0,0,0,0.078,0
